code,exchange,type,country,currency,isin,name
VEVE,AS,ETF,Netherlands,EUR,IE00BKX55T58,Vanguard FTSE Developed World UCITS ETF
V3RE,AS,ETF,Netherlands,EUR,IE000QADMYA3,Vanguard Funds PLC - Vanguard ESG EUR Corporate Bond UCITS ETF
V3GF,AS,ETF,Netherlands,EUR,IE00BNDS1P30,Vanguard Funds PLC - Vanguard ESG Global Corporate Bond UCITS ETF EUR Hedged Acc
V3GE,AS,ETF,Netherlands,EUR,IE00BNDS1Q47,Vanguard Funds PLC - Vanguard ESG Global Corporate Bond UCITS ETF EUR Hedged Inc
V3RF,AS,ETF,Netherlands,EUR,IE000F37PGZ3,Vanguard Funds Plc - Vanguard Esg Eur Corporate Bond Ucits ETF
VGGF,AS,ETF,Netherlands,EUR,IE000B1A2798,Vanguard Global Government Bond UCITS ETF EUR Hedged Accumulating
V20A,AS,ETF,Netherlands,EUR,IE00BMVB5K07,Vanguard LifeStrategy 20% Equity UCITS ETF (EUR) Accumulating
V20D,AS,ETF,Netherlands,EUR,IE00BMVB5L14,Vanguard LifeStrategy 20% Equity UCITS ETF (EUR) Distributing
V40A,AS,ETF,Netherlands,EUR,IE00BMVB5M21,Vanguard LifeStrategy 40% Equity UCITS ETF (EUR) Accumulating
V40D,AS,ETF,Netherlands,EUR,IE00BMVB5N38,Vanguard LifeStrategy 40% Equity UCITS ETF (EUR) Distributing
V60A,AS,ETF,Netherlands,EUR,IE00BMVB5P51,Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) Accumulating
V60D,AS,ETF,Netherlands,EUR,IE00BMVB5Q68,Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) Distributing
V80A,AS,ETF,Netherlands,EUR,IE00BMVB5R75,Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) Accumulating
VUSA,AS,ETF,Netherlands,EUR,IE00B3XXRP09,Vanguard S&P 500 UCITS ETF
VUCP,AS,ETF,Netherlands,EUR,IE00BZ163K21,Vanguard USD Corporate Bond UCITS ETF
VEMT,AS,ETF,Netherlands,EUR,IE00BZ163L38,Vanguard USD Emerging Markets Government Bond UCITS ETF EUR
VUTY,AS,ETF,Netherlands,EUR,IE00BZ163M45,Vanguard USD Treasury Bond UCITS ETF EUR
ASIG,AS,ETF,Netherlands,USD,IE0007G78AC4,iShares $ Asia Investment Grade Corp Bond UCITS ETF USD (Acc)
SUOA,AS,ETF,Netherlands,USD,IE00BKKKWJ26,iShares $ Corp Bond ESG UCITS ETF USD Acc
SUOU,AS,ETF,Netherlands,USD,IE00BK4W7N32,iShares $ Corp Bond ESG UCITS ETF USD Inc
LQDH,AS,ETF,Netherlands,EUR,IE00BCLWRB83,iShares $ Corp Bond Interest Rate Hedged UCITS ETF USD (Dist)
LQDA,AS,ETF,Netherlands,EUR,IE0032895942,iShares $ Corp Bond UCITS ETF USD (Dist) EUR
DHYE,AS,ETF,Netherlands,EUR,IE00BJK55B31,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Acc)
IDCB,AS,ETF,Netherlands,USD,,iShares $ Intermediate Credit Bond UCITS ETF USD (Acc)
SDIG,AS,ETF,Netherlands,EUR,IE00BCRY5Y77,iShares $ Short Duration Corp Bond UCITS ETF USD (Dist)
SKUK,AS,ETF,Netherlands,USD,IE000929U2U9,iShares $ Sukuk UCITS ETF USD Dis
TI5A,AS,ETF,Netherlands,USD,IE000JXFRNI0,iShares $ TIPS 0-5 UCITS ETF USD (Acc)
US03,AS,ETF,Netherlands,USD,,iShares $ Treasury Bond 0-3 Month UCITS ETF USD (Dist)
IBTS,AS,ETF,Netherlands,EUR,IE00B14X4S71,iShares $ Treasury Bond 1-3yr UCITS ETF USD (Dist)
OM3M,AS,ETF,Netherlands,USD,,iShares $ Treasury Bond 3-7yr UCITS ETF USD (Dist)
GOVT,AS,ETF,Netherlands,USD,IE00BK95B138,iShares $ Treasury Bond UCITS ETF
UEDD,AS,ETF,Netherlands,USD,IE00BJP26C72,iShares $ Ultrashort Bond ESG UCITS ETF
IAEA,AS,ETF,Netherlands,EUR,IE00BMTX2B82,iShares AEX UCITS ETF EUR (Acc)
IAEX,AS,ETF,Netherlands,EUR,IE00B0M62Y33,iShares AEX UCITS ETF EUR (Dist)
IART,AS,ETF,Netherlands,EUR,IE000G0E83X3,iShares AI Innovation Active UCITS ETF USD (Acc)
ISAE,AS,ETF,Netherlands,EUR,IE00B6R52143,iShares Agribusiness UCITS ETF USD (Acc) EUR
AXEE,AS,ETF,Netherlands,USD,IE000D5R9C23,iShares Asia ex Japan Equity Enhanced Active UCITS ETF USD (Acc)
BLKC,AS,ETF,Netherlands,USD,IE000RDRMSD1,iShares Blockchain Technology UCITS ETF USD Cap
HYCB,AS,ETF,Netherlands,USD,,iShares Broad $ High Yield Corp Bond UCITS ETF USD (Acc)
IGBG,AS,ETF,Netherlands,USD,IE000J8Z5N74,iShares Broad Global Govt Bond UCITS ETF USD Distribution
CNYB,AS,ETF,Netherlands,USD,IE00BYPC1H27,iShares China CNY Bond UCITS ETF USD (Dist)
CYBA,AS,ETF,Netherlands,USD,IE00BKPSFD61,iShares China CNY Bond UCITS ETF USD Acc
CYBU,AS,ETF,Netherlands,USD,IE00BKT6RT64,iShares China CNY Bond UCITS ETF USD Hedged (Dist)
CGBI,AS,ETF,Netherlands,USD,IE00BMC7BF44,iShares China CNY Govt Bond UCITS ETF
FXAC,AS,ETF,Netherlands,EUR,IE000QOU09J7,iShares China Large Cap UCITS ETF USD Acc EUR
COPM,AS,ETF,Netherlands,USD,IE00063FT9K6,iShares Copper Miners UCITS ETF
EXS1,AS,ETF,Netherlands,EUR,DE0005933931,iShares Core DAX® UCITS ETF (DE) EUR (Acc)
ISFA,AS,ETF,Netherlands,EUR,IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist) EUR
AGGH,AS,ETF,Germany,EUR,IE00BDBRDM35,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc) EUR
AGAC,AS,ETF,Netherlands,USD,,iShares Core Global Aggregate Bond UCITS ETF USD (Acc)
AGUG,AS,ETF,Netherlands,USD,IE00BMGNVD65,iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Dist)
IMAE,AS,ETF,Netherlands,EUR,IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc)
IMEU,AS,ETF,Netherlands,EUR,IE00B1YZSC51,iShares Core MSCI Europe UCITS ETF EUR (Dist) CHF
SJPE,AS,ETF,Netherlands,EUR,IE00BKT6FV49,iShares Core MSCI Japan IMI UCITS ETF EUR Hedged (Acc)
IJPA,AS,ETF,Netherlands,EUR,IE00B4L5YX21,iShares Core MSCI Japan IMI UCITS ETF USD (Acc)
SJPD,AS,ETF,Netherlands,USD,IE00BFM15T99,iShares Core MSCI Japan IMI UCITS ETF USD (Dist)
IWDA,AS,ETF,Netherlands,EUR,IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc)
IWDD,AS,ETF,Netherlands,USD,IE000OHHIBC6,iShares Core MSCI World UCITS ETF USD (Dist)
CSPX,AS,ETF,Netherlands,EUR,IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc) EUR
IUSA,AS,ETF,Netherlands,EUR,IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist)
GLUH,AS,ETF,Netherlands,USD,IE0004J6PFL7,iShares Core UK Gilts UCITS ETF USD Hedged (Dist)
SLXU,AS,ETF,Netherlands,USD,IE000UCFZI88,iShares Core £ Corp Bond UCITS ETF USD Hedged (Acc)
IEAC,AS,ETF,Netherlands,EUR,IE00B3F81R35,iShares Core € Corp Bond UCITS ETF EUR (Dist)
IEAU,AS,ETF,Netherlands,USD,IE00093GOJ04,iShares Core € Corp Bond UCITS ETF USD Hedged (Acc)
IWDP,AS,ETF,Netherlands,EUR,IE00B1FZS350,iShares Developed Markets Property Yield UCITS ETF USD (Dist) EUR
PLAY,AS,ETF,Netherlands,USD,IE00023EZQ82,iShares Digital Entertainment and Education UCITS ETF USD (Acc)
LOCK,AS,ETF,Netherlands,EUR,IE00BG0J4C88,iShares Digital Security UCITS ETF USD Acc EUR
DGTL,AS,ETF,Netherlands,EUR,IE00BYZK4883,iShares Digitalisation UCITS ETF USD (Acc)
EXXY,AS,ETF,Netherlands,USD,DE000A0H0728,iShares Diversified Commodity Swap UCITS ETF (DE)
IGSG,AS,ETF,Netherlands,EUR,IE00B57X3V84,iShares Dow Jones Global Sustainability Screened UCITS ETF USD (Acc)
EXA1,AS,ETF,Netherlands,EUR,DE000A2QP372,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR Acc
