isin,code,exchange,type,country,currency,name,selection_reason
LU2408468291,AW1M,XETRA,ETF,Germany,EUR,UBS (Lux) Fund Solutions - Bloomberg MSCI US Liquid Corporates 1-5 Year Sustainable UCITS ETF H-EURA,preferred_xetra
LU2408468887,CBSUS5,SW,ETF,Switzerland,CHF,UBS (Lux) Fund Solutions - Bloomberg MSCI US Liquid Corporates 1-5 Year Sustainable UCITS ETF H-CHFA,fallback_exchange
LU2418815390,INFB,LSE,ETF,UK,GBP,Lyxor US$ 10Y Inflation Expectations UCITS ETF Monthly Hedged GBP,fallback_exchange
LU2439113387,9E0E,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Index Euro AGG SRI UCITS ETF DR EUR (D),preferred_xetra
LU2439119236,ACUU,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MSCI AC Far East Ex Japan ESG Leaders Select UCITS ETF DR USD (C) EUR,preferred_xetra
LU2439733507,AHYD,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Global AGG SRI UCITS ETF DR HEDGED EUR (C),preferred_xetra
LU2439734141,8OUU,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Global AGG SRI UCITS ETF DR (C),preferred_xetra
LU2439735890,CNYE,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi China CNY Bonds UCITS ETF DR USD Cap,preferred_xetra
LU2446380235,ASRW,XETRA,ETF,Germany,USD,BNP Paribas Easy MSCI World ESG Filtered Min TE UCITS ETF Cap USD,preferred_xetra
LU2446381555,ASRV,XETRA,ETF,Germany,EUR,BNP Paribas Easy ESG Eurozone Biodiversity Leaders PAB UCITS ETF EUR,preferred_xetra
LU2446383171,ASRY,XETRA,ETF,Germany,EUR,BNP Paribas Easy MSCI World ESG Filtered Min TE UCITS ETF EUR Cap EUR,preferred_xetra
LU2446383254,SRI3C,PA,ETF,France,EUR,BNP Paribas Easy â¬ Corp Bond SRI PAB 1-3Y UCITS ETF Acc,fallback_exchange
LU2446383338,SRIC6,PA,ETF,France,EUR,BNP Paribas Easy € Corp Bond SRI PAB 3-5Y UCITS ETF Acc,fallback_exchange
LU2451511526,0NS,XETRA,ETF,Germany,USD,Amundi Index Solutions - Amundi Prime US Treasury Bond 0-1 Y UCITS ETF DR - SGD Hedged (C) EUR,preferred_xetra
LU2456436083,XCS7,XETRA,ETF,Germany,EUR,Xtrackers MSCI China UCITS ETF 1D EUR,preferred_xetra
LU2462217071,XGVC,XETRA,ETF,Germany,EUR,Xtrackers II ESG Global Government Bond UCITS ETF 1C EUR Accumulation,preferred_xetra
